link,local,check
http://www.duden.de/_media_/audio/ID4112937_221048555.mp3,sehen-ID4112937_221048555.mp3,true
http://www.duden.de/_media_/audio/ID4112735_317481101.mp3,laufen-ID4112735_317481101.mp3,true
http://www.duden.de/_media_/audio/ID4114793_290402411.mp3,glauben-ID4114793_290402411.mp3,true
http://www.duden.de/_media_/audio/ID4114640_327565052.mp3,brauchen-ID4114640_327565052.mp3,true
http://www.duden.de/_media_/audio/ID4111424_172752765.mp3,nehmen-ID4111424_172752765.mp3,true
http://www.duden.de/_media_/audio/ID4113666_104100380.mp3,Computer-ID4113666_104100380.mp3,true
http://www.duden.de/_media_/audio/ID4112024_161392289.mp3,wohnen-ID4112024_161392289.mp3,true
http://www.duden.de/_media_/audio/ID4108383_405681642.mp3,tragen-ID4108383_405681642.mp3,true
http://www.duden.de/_media_/audio/ID4110443_24563097.mp3,bringen-ID4110443_24563097.mp3,true
http://www.duden.de/_media_/audio/ID4110884_161041744.mp3,fragen-ID4110884_161041744.mp3,true
http://www.duden.de/_media_/audio/ID4241520_507379790.mp3,haben_muessen-ID4241520_507379790.mp3,true
http3,file3,true
http://www.duden.de/_media_/audio/ID4114692_28439416.mp3,liegen-ID4114692_28439416.mp3,true
http://www.duden.de/_media_/audio/ID4111695_403590219.mp3,heiszen_hissen_hochziehen-ID4111695_403590219.mp3,true
http://www.duden.de/_media_/audio/ID4107595_391622531.mp3,wissen-ID4107595_391622531.mp3,true
http://www.duden.de/_media_/audio/ID4113243_110750001.mp3,kaufen-ID4113243_110750001.mp3,true
http://www.duden.de/_media_/audio/ID4112046_368528070.mp3,machen-ID4112046_368528070.mp3,true
http://www.duden.de/_media_/audio/ID4117346_522250026.mp3,kennen-ID4117346_522250026.mp3,true
http://www.duden.de/_media_/audio/ID4120024_125948318.mp3,sein_Hilfsverb-ID4120024_125948318.mp3,true
http://www.duden.de/_media_/audio/ID4112011_355610277.mp3,Horror-ID4112011_355610277.mp3,true
http://www.duden.de/_media_/audio/ID4112301_335099885.mp3,stellen-ID4112301_335099885.mp3,true
http://www.duden.de/_media_/audio/ID4110729_271138802.mp3,finden-ID4110729_271138802.mp3,true
http://www.duden.de/_media_/audio/ID4116491_214318546.mp3,sitzen-ID4116491_214318546.mp3,true
http://www.duden.de/_media_/audio/ID4111880_461734065.mp3,fahren-ID4111880_461734065.mp3,true
http://www.duden.de/_media_/audio/ID4116743_174156168.mp3,ziehen-ID4116743_174156168.mp3,true
http://www.duden.de/_media_/audio/ID4116456_191028110.mp3,muessen-ID4116456_191028110.mp3,true
http,file,true
http://www.duden.de/_media_/audio/ID4108098_411984693.mp3,setzen-ID4108098_411984693.mp3,true
http://www.duden.de/_media_/audio/ID4113605_140819530.mp3,stehen-ID4113605_140819530.mp3,true
http://www.duden.de/_media_/audio/ID4115492_203197446.mp3,helfen-ID4115492_203197446.mp3,true
http2,file2,true
http://www.duden.de/_media_/audio/ID4108563_344517469.mp3,geben-ID4108563_344517469.mp3,true
http://www.duden.de/_media_/audio/ID4113574_338206689.mp3,schlagen-ID4113574_338206689.mp3,true
http://www.duden.de/_media_/audio/ID4112740_491434884.mp3,lassen-ID4112740_491434884.mp3,true
http://www.duden.de/_media_/audio/ID4110623_70132788.mp3,tun_werden-ID4110623_70132788.mp3,true
http://www.duden.de/_media_/audio/ID4117406_462294833.mp3,bekommen-ID4117406_462294833.mp3,true
http://www.duden.de/_media_/audio/ID4119015_353368863.mp3,wollen_aus_Wolle-ID4119015_353368863.mp3,true
http://www.duden.de/_media_/audio/ID4109870_126866471.mp3,Campus-ID4109870_126866471.mp3,true
http://www.duden.de/_media_/audio/ID4111957_181980059.mp3,arbeiten-ID4111957_181980059.mp3,true
http://www.duden.de/_media_/audio/ID4106601_475750438.mp3,gehen-ID4106601_475750438.mp3,true
http://www.duden.de/_media_/audio/ID4109851_142794597.mp3,werden_planen_vermutlich-ID4109851_142794597.mp3,true
http://www.duden.de/_media_/audio/ID4110557_413239257.mp3,koennen-ID4110557_413239257.mp3,true
http://www.duden.de/_media_/audio/ID4110882_3283053.mp3,essen-ID4110882_3283053.mp3,true
http://www.duden.de/_media_/audio/ID4111417_366091689.mp3,sagen-ID4111417_366091689.mp3,true
http://www.duden.de/_media_/audio/ID4106761_30657008.mp3,denken-ID4106761_30657008.mp3,true
http://www.duden.de/_media_/audio/ID4111331_23791721.mp3,kommen-ID4111331_23791721.mp3,true
http://www.duden.de/_media_/audio/ID4107471_435017994.mp3,legen-ID4107471_435017994.mp3,true
http://www.duden.de/_media_/audio/ID4107391_479385813.mp3,renovieren-ID4107391_479385813.mp3,true
http://www.duden.de/_media_/audio/ID4108316_28923178.mp3,treffen-ID4108316_28923178.mp3,true
http://www.duden.de/_media_/audio/ID4111541_109426517.mp3,schlafen-ID4111541_109426517.mp3,true
http://www.duden.de/_media_/audio/ID4112143_287648183.mp3,bleiben-ID4112143_287648183.mp3,true
http://www.duden.de/_media_/audio/ID4107815_40673605.mp3,sterben-ID4107815_40673605.mp3,true
