{{c1::spähen}} : <span class="content">forschend, suchend blicken</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">aus dem Fenster, um die Ecke, durch die Gardine spähen</span></span></div>
{{c1::spähen}} : <span class="content">Ausschau halten</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">er spähte nach ihr</span></span></div>
{{c1::auskennen}} : <dd class="content">mit etwas vertraut sein, umzugehen wissen; etwas gut kennen, in einem bestimmten Bereich genau Bescheid wissen</dd>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">ich kenne mich gut, nicht aus hier</span></span></li><li><span class="beispiel"><span class="font_normal">sie kennt sich bei uns aus</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">in dieser Materie kenne ich mich aus <span class="font_kursiv">(ich bin darin bewandert)</span></span></span></li></ul></div>
{{c1::anhaltend}} : <dd class="content">unaufhörlich, ununterbrochen, permanent, ausdauernd</dd>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">anhaltender Regen</span></span></li><li><span class="beispiel"><span class="font_normal">ein anhaltendes Wachstum der Wirtschaft</span></span></li><li><span class="beispiel"><span class="font_normal">die anhaltende Schwäche des Dollars</span></span></li><li><span class="beispiel"><span class="font_normal">er hielt trotz anhaltender Kritik an seinem Entschluss fest</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">anhaltend husten, lachen</span></span></li></ul></div>
{{c1::Frage}} : <span class="content">eine Antwort, Auskunft, Erklärung, Entscheidung o. Ä. fordernde Äußerung, mit der sich jemand an jemanden wendet</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">eine neugierige, dumme, verfängliche, müßige Frage</span></span></li><li><span class="beispiel"><span class="font_normal">eine rhetorische Frage <span class="font_kursiv">(als Frage gestellte rhetorische Figur, auf die keine Antwort erwartet wird)</span></span></span></li><li><span class="beispiel"><span class="font_normal">so eine Frage! <span class="font_kursiv">(das ist doch selbstverständlich!)</span></span></span></li><li><span class="beispiel"><span class="font_normal">Fragen zur Person und zur Sache</span></span></li><li><span class="beispiel"><span class="font_normal">Frage <span class="font_normal">(umgangssprachlich; </span><span class="font_kursiv">es stellt sich die Frage</span>), können wir das schaffen?</span></span></li><li><span class="beispiel"><span class="font_normal">die Frage muss erlaubt sein, ob diese Handlungsweise richtig ist</span></span> <span class="font_kursiv">(man muss daran zweifeln dürfen)</span></li><li><span class="beispiel"><span class="font_normal">es stellt sich die Frage <span class="font_kursiv">(man muss sich fragen), </span>ob das reichen wird</span></span></li><li><span class="beispiel"><span class="font_normal">»Was war da los?« – »Gute Frage «</span></span></li><li><span class="beispiel"><span class="font_normal">jemandem/an jemanden eine Frage stellen</span></span></li><li><span class="beispiel"><span class="font_normal">an jemanden eine Frage richten</span></span></li><li><span class="beispiel"><span class="font_normal">eine Frage beantworten, bejahen, verneinen</span></span></li><li><span class="beispiel"><span class="font_normal">hat jemand noch eine Frage?</span></span></li><li><span class="beispiel"><span class="font_normal">auf eine Frage antworten</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">sich mit einer Frage an jemanden wenden</span></span></li></ul></div>
{{c1::Frage}} : <span class="content">Problem; zu erörterndes Thema, zu klärende Sache, Angelegenheit</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">eine schwierige, ungelöste, offene Frage</span></span></li><li><span class="beispiel"><span class="font_normal">die letzten Fragen <span class="font_kursiv">(religiöse Themen, besonders das Problem des Todes)</span></span></span></li><li><span class="beispiel"><span class="font_normal">die Frage nach dem Sinn des Lebens</span></span></li><li><span class="beispiel"><span class="font_normal">das ist eine Frage des Geldes <span class="font_kursiv">(das hängt vom verfügbaren Geld ab)</span></span></span></li><li><span class="beispiel"><span class="font_normal">das ist eine Frage der Ehre <span class="font_kursiv">(es geht um die Selbstachtung, die innere Würde)</span></span></span></li><li><span class="beispiel"><span class="font_normal">das ist noch sehr die Frage, ist die große Frage <span class="font_kursiv">(ist noch sehr zweifelhaft)</span></span></span></li><li><span class="beispiel"><span class="font_normal">das ist gar keine Frage <span class="font_kursiv">(ist ganz gewiss)</span></span></span></li><li><span class="beispiel"><span class="font_normal">eine Frage aufwerfen, anschneiden, diskutieren, klären</span></span></li><li><span class="beispiel"><span class="font_normal">über wissenschaftliche, politische Fragen sprechen</span></span></li><li><span class="beispiel"><span class="font_normal">wir kommen um diese Frage nicht herum</span></span></li></ul></div><div class="Wendungen"><h3>Wendungen, Redensarten, Sprichwörter</h3><ul><li><span class="iwtext">nur eine Frage der Zeit sein</span> <span class="content">(<span class="iw_rumpf_info"><span class="font_normal">mit Gewissheit früher oder später eintreten</span></span>)</span></li><li><span class="iwtext">außer Frage sein/stehen</span> <span class="content">(<span class="iw_rumpf_info"><span class="font_normal">ganz gewiss, unbezweifelbar sein</span></span>)</span></li><li><span class="iwtext">jemanden, etwas in Frage stellen</span> <span class="content">(<span class="iw_rumpf_info"><span class="font_normal"><a href="http://www.duden.de/rechtschreibung/infrage" meta-ref-id="10133109" meta-ref-name="infrage" meta-type="art">infrage</a></span></span>)</span></li><li><span class="iwtext">etwas in Frage stellen</span> <span class="content">(<span class="iw_rumpf_info"><span class="font_normal"><a href="http://www.duden.de/rechtschreibung/infrage" meta-ref-id="10133109" meta-ref-name="infrage" meta-type="art">infrage</a></span></span>)</span></li><li><span class="iwtext">in Frage kommen</span> <span class="content">(<span class="iw_rumpf_info"><span class="font_normal"><a href="http://www.duden.de/rechtschreibung/infrage" meta-ref-id="10133109" meta-ref-name="infrage" meta-type="art">infrage</a></span></span>)</span></li><li class="noBottomMargin"><span class="iwtext">ohne Frage</span> <span class="content">(<span class="iw_rumpf_info"><span class="font_normal">zweifellos, ganz gewiss</span></span>)</span></li></ul></div>
{{c1::einsetzen}} : <span class="content">[als Teil] in etwas setzen, hineinbringen, einfügen, einarbeiten</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">Fenster einsetzen</span></span></li><li><span class="beispiel"><span class="font_normal">einen Flicken in die Hose einsetzen</span></span></li><li><span class="beispiel"><span class="font_normal">in dem Satz ist ein Wort einzusetzen <span class="font_kursiv">(zu ergänzen)</span></span></span></li><li><span class="beispiel"><span class="font_normal">den gefundenen Wert in die Gleichung einsetzen</span></span></li><li><span class="beispiel"><span class="font_normal">Fische einsetzen <span class="font_kursiv">(zur Zucht in einen Teich setzen)</span></span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">Pflanzen einsetzen <span class="font_kursiv">(in die Erde setzen; einpflanzen)</span></span></span></li></ul></div>
{{c1::einsetzen}} : <span class="content">zusätzlich fahren lassen, einschieben</span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">Verkehrswesen</span></p></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">Entlastungszüge einsetzen</span></span></div>
{{c1::einsetzen}} : <span class="content">[zu etwas] ernennen, [für etwas] bestimmen</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">einen Kommissar einsetzen</span></span></li><li><span class="beispiel"><span class="font_normal">zur Untersuchung des Falles wurde ein Ausschuss eingesetzt</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">jemanden zum/als Erben einsetzen</span></span></li></ul></div>
{{c1::einsetzen}} : <span class="content">planmäßig für eine bestimmte Aufgabe verwenden, dafür in Aktion treten lassen</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">Waffen, freiwillige Helfer einsetzen</span></span></li><li><span class="beispiel"><span class="font_normal">all seine Kräfte, seine ganze Kraft [für eine Aufgabe] einsetzen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">gegen die Demonstranten wurde Polizei eingesetzt</span></span></li></ul></div>
{{c1::einsetzen}} : <span class="content">in eine Position setzen</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">jemanden [wieder] in seine Rechte einsetzen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">sie wurde feierlich in ihr Amt eingesetzt <span class="font_kursiv">(eingeführt)</span></span></span></li></ul></div>
{{c1::einsetzen}} : <span class="content">als <a href="http://www.duden.de/rechtschreibung/Einsatz#b2-Bedeutung-2" meta-ref-anker="#b2-Bedeutung-2" meta-ref-id="10045177" meta-ref-name="Einsatz" meta-type="art">Einsatz (2)</a> geben</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">10 Euro einsetzen</span></span></div>
{{c1::einsetzen}} : <span class="content">aufs Spiel setzen, riskieren</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">bei etwas sein Leben, seine Ehre einsetzen</span></span></div>
{{c1::einsetzen}} : <span class="content">sich anstrengen; alle körperlichen und geistigen Kräfte für etwas anspannen</span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">sich einsetzen</dd></dl></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">er hat sich [in dieser Sache] tatkräftig, selbstlos eingesetzt</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">die Spieler haben sich voll eingesetzt</span></span></li></ul></div>
{{c1::einsetzen}} : <span class="content">sich um jemanden, etwas persönlich bemühen; sich für jemanden, etwas verwenden; Fürsprache einlegen</span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">sich einsetzen</dd></dl></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">sich für eine Steuerreform einsetzen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">ich werde mich bei deinem Vater für dich einsetzen</span></span></li></ul></div>
{{c1::einsetzen}} : <span class="content">[zu einem bestimmten Zeitpunkt prompt oder erneut] beginnen</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">der Regen hat wieder eingesetzt</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">die Bläser setzten [im/mit dem fünften Takt] ein</span></span></li></ul></div>
{{c1::Laie}} : <span class="content">jemand, der auf einem bestimmten Gebiet keine Fachkenntnisse hat</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">er ist auf diesem Gebiet völliger, blutiger Laie</span></span></li><li><span class="beispiel"><span class="font_normal">gebildete, medizinische Laien</span></span></li></ul></div><div class="Wendungen"><h3>Wendungen, Redensarten, Sprichwörter</h3><span class="iwtext">da staunt der Laie [und der Fachmann wundert sich]</span> <span class="content">(<span class="iw_rumpf_info"><span class="font_normal">das sollte man nicht für möglich halten</span></span>)</span></div>
{{c1::Laie}} : <span class="content">Christ, der nicht Geistlicher, [Priester]mönch o. Ä. ist</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">die katholischen Laien</span></span></div>
{{c1::Rezept}} : <span class="content">schriftliche ärztliche Anweisung zur Abgabe, gegebenenfalls auch Herstellung bestimmter Arzneimittel in der Apotheke</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">ein Rezept ausschreiben, ausstellen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">das Mittel gibt es nur auf Rezept</span></span></li></ul></div>
{{c1::Rezept}} : <span class="content">Anleitung zur Zubereitung eines Gerichts o. Ä. mit Mengenangaben für die einzelnen Zutaten; Koch-, Backrezept<span class="term_img"><span><a class="colorbox-inline" href="?width=500&amp;height=500&amp;inline=true#largimage201100280907"><img meta-alt="Rezept - Ein handgeschriebenes Rezept (rechts)" meta-bu="Ein handgeschriebenes Rezept (rechts) - © sonne Fleckl - Fotolia.com" meta-dateiname="Rezept-201100280907.jpg" meta-ref-id="201100280907" meta-size="medium" meta-title="Rezept - Ein handgeschriebenes Rezept (rechts)" meta-type="image" src="http://duden.de/_media_/small/R/Rezept-201100280907.jpg"/></a><br/><span class="bu">Ein handgeschriebenes Rezept (rechts) - © sonne Fleckl - Fotolia.com</span><span style="display:none"><span class="colorboxbiga" id="largimage201100280907"><img class="hidden" src="http://duden.de/_media_/full/R/Rezept-201100280907.jpg" style="max-width:450px; max-height:450px;"/><br/><span class="bu">Ein handgeschriebenes Rezept (rechts) - © sonne Fleckl - Fotolia.com</span></span></span></span></span></span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">ein Rezept ausprobieren</span></span></li><li><span class="beispiel"><span class="font_normal">nach Rezept backen</span></span></li><li class="noBottomMargin">&lt;in übertragener Bedeutung&gt;: <span class="beispiel"><span class="font_normal">nach bewährtem Rezept <span class="font_kursiv">(nach erprobtem Muster</span>)</span></span></li></ul></div>
{{c1::Verflechtung}} : <span class="content">das [Sich]verflechten</span>	
{{c1::Verflechtung}} : <span class="content">[enger] Zusammenhang</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">internationale politische Verflechtungen</span></span></div>
